SATNAME,LAUNCH
SL-1 R/B,4/10/1957
SPUTNIK 1,4/10/1957
SPUTNIK 2,3/11/1957
EXPLORER 1,1/02/1958
VANGUARD R/B,17/03/1958
VANGUARD 1,17/03/1958
VANGUARD DEB,17/03/1958
EXPLORER 3,26/03/1958
SL-1 R/B,15/05/1958
SPUTNIK 3,15/05/1958
EXPLORER 4,26/07/1958
SCORE,18/12/1958
PIONEER 1,11/10/1958
PIONEER 3,6/12/1958
VANGUARD 2,17/02/1959
VANGUARD R/B,17/02/1959
VANGUARD DEB,17/02/1959
VANGUARD DEB,17/02/1959
DISCOVERER 1,28/02/1959
DISCOVERER 2,13/04/1959
EXPLORER 6,7/08/1959
THOR ABLE R/B,7/08/1959
DISCOVERER 5,13/08/1959
DISCOVERER 5 CAPSULE,13/08/1959
DISCOVERER 6,19/08/1959
VANGUARD 3,18/09/1959
VANGUARD 3 DEB,18/09/1959
VANGUARD 3 DEB,18/09/1959
LUNA 3,4/10/1959
EXPLORER 7,13/10/1959
JUNO II R/B,13/10/1959
DISCOVERER 7,7/11/1959
DISCOVERER 8,20/11/1959
LUNA 1,2/01/1959
PIONEER 4,3/03/1959
LUNA 2,12/09/1959
PIONEER 5,11/03/1960
THOR ABLE R/B,1/04/1960
TIROS 1,1/04/1960
THOR ABLE DEB (YO),1/04/1960
THOR ABLE DEB (YO),1/04/1960
THOR ABLESTAR R/B,13/04/1960
TRANSIT 1B,13/04/1960
THOR ABLESTAR DEB,13/04/1960
THOR ABLESTAR DEB,13/04/1960
DISCOVERER 11,15/04/1960
SPUTNIK 4,15/05/1960
SL-3 R/B,15/05/1960
SPUTNIK 4 CABIN,15/05/1960
SPUTNIK 4 DEB,15/05/1960
SPUTNIK 4 DEB,15/05/1960
SPUTNIK 4 DEB,15/05/1960
SPUTNIK 4 DEB,15/05/1960
SPUTNIK 4 DEB,15/05/1960
SPUTNIK 4 DEB,15/05/1960
MIDAS 2,24/05/1960
MIDAS 2 DEB,24/05/1960
TRANSIT 2A,22/06/1960
SOLRAD 1 (GREB),22/06/1960
THOR ABLESTAR R/B,22/06/1960
THOR ABLESTAR DEB,22/06/1960
THOR ABLESTAR DEB,22/06/1960
DISCOVERER 13,10/08/1960
ECHO 1,12/08/1960
DELTA 1 R/B,12/08/1960
ECHO 1 DEB (METAL OBJ),12/08/1960
ECHO 1 DEB (MYLAR OBJ),12/08/1960
ECHO 1 DEB (METAL OBJ),12/08/1960
DISCOVERER 14,18/08/1960
SPUTNIK 5,19/08/1960
SL-3 R/B,19/08/1960
DISCOVERER 15,13/09/1960
COURIER 1B,4/10/1960
THOR ABLESTAR R/B,4/10/1960
EXPLORER 8,3/11/1960
JUNO II R/B,3/11/1960
JUNO II DEB,3/11/1960
JUNO II DEB,3/11/1960
DISCOVERER 17,12/11/1960
TIROS 2,23/11/1960
DELTA 1 R/B,23/11/1960
DELTA 1 DEB,23/11/1960
DELTA 1 DEB,23/11/1960
TIROS 2 DEB *,23/11/1960
SPUTNIK 6,1/12/1960
SL-3 R/B,1/12/1960
DISCOVERER 18,7/12/1960
DISCOVERER 19,20/12/1960
SAMOS 2,31/01/1961
ATLAS AGENA A R/B,31/01/1961
SPUTNIK 7,4/02/1961
SL-6 R/B,4/02/1961
SL-6 DEB,4/02/1961
VENERA 1,12/02/1961
SL-6 R/B,12/02/1961
SPUTNIK 8,12/02/1961
SL-6 DEB,12/02/1961
EXPLORER 9,16/02/1961
SCOUT X-1 R/B,16/02/1961
SCOUT X-1 DEB,16/02/1961
SCOUT X-1 DEB,16/02/1961
SCOUT X-1 DEB,16/02/1961
SCOUT X-1 DEB,16/02/1961
SCOUT X-1 DEB,16/02/1961
SCOUT X-1 DEB,16/02/1961
DISCOVERER 20,17/02/1961
DISCOVERER 20 DEB,17/02/1961
DISCOVERER 20 DEB,17/02/1961
DISCOVERER 20 DEB,17/02/1961
DISCOVERER 21,18/02/1961
TRANSIT 3B/LOFTI 1,22/02/1961
SPUTNIK 9,9/03/1961
SPUTNIK 9 DEB,9/03/1961
SPUTNIK 9 DEB,9/03/1961
SPUTNIK 9 DEB,9/03/1961
SPUTNIK 10,25/03/1961
SL-3 R/B,25/03/1961
SL-3 DEB,25/03/1961
EXPLORER 10,25/03/1961
DISCOVERER 23,8/04/1961
DISCOVERER 23 CAPSULE,8/04/1961
DISCOVERER 23 DEB,8/04/1961
VOSTOK 1,12/04/1961
SL-3 R/B,12/04/1961
EXPLORER 11,27/04/1961
